;;;;;;;;;سعودي;سعودي;سعودي;غير سعودي;غير سعودي;غير سعودي;المجموع;المجموع;المجموع;NA
YR;SS;DS;IT;IN;CO;SE;SP;SSYS;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;GE
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;التاريخ والحضارة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;التاريخ والحضارة;دكتوراه;9;2;11;0;0;0;9;2;11;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;التاريخ والحضارة;جملة;25;52;77;0;0;0;25;52;77;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;التاريخ والحضارة - بريدة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;التاريخ والحضارة - بريدة;ماجستير;16;0;16;0;0;0;16;0;16;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;التاريخ والحضارة - بريدة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;التاريخ والحضارة - بريدة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;التاريخ والحضارة الإسلامية;التاريخ والحضارة - بريدة;جملة;16;0;16;0;0;0;16;0;16;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;المحاسبة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;المحاسبة;جملة;ماجستير;18;0;18;2;0;2;20;0;20;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;المحاسبة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;المحاسبة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;المحاسبة;جملة;جملة;18;0;18;2;0;2;20;0;20;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;المحاسبة;المحاسبة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;المحاسبة;المحاسبة;ماجستير;18;0;18;2;0;2;20;0;20;
1435-1434;fr;pg;جامعة أم القرى دراسات عليا;جامعة أم القرى دراسات عليا;الشريعة والدراسات الإسلامية ;المحاسبة;المحاسبة;زمالة;0;0;0;0;0;0;0;0;0;
