;;;;;;;;;سعودي;سعودي;سعودي;غير سعودي;غير سعودي;غير سعودي;المجموع;المجموع;المجموع;NA
YR;SS;DS;IT;IN;CO;SE;SP;SSYS;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;ذكر ;أنثى ;جملة ;GE
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الاقتصاد والإدارة ;الاقتصاد والتمويل;العلوم في الأقتصاد;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الاقتصاد والإدارة ;الاقتصاد والتمويل;العلوم في الأقتصاد;جملة;0;2;2;2;0;2;2;2;4;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;جملة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;جملة;جملة;ماجستير;5;56;61;0;3;3;5;59;64;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;جملة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;جملة;جملة;جملة;5;56;61;0;3;3;5;59;64;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;أصول التربية;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;أصول التربية;جملة;ماجستير;4;14;18;0;0;0;4;14;18;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;أصول التربية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;أصول التربية;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;أصول التربية;جملة;جملة;4;14;18;0;0;0;4;14;18;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;أصول التربية;أصول التربية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;أصول التربية;أصول التربية;ماجستير;4;14;18;0;0;0;4;14;18;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;أصول التربية;أصول التربية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;أصول التربية;أصول التربية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;أصول التربية;أصول التربية;جملة;4;14;18;0;0;0;4;14;18;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;المناهج وطرق التدريس;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;المناهج وطرق التدريس;جملة;ماجستير;0;13;13;0;2;2;0;15;15;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;المناهج وطرق التدريس;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;المناهج وطرق التدريس;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;المناهج وطرق التدريس;جملة;جملة;0;13;13;0;2;2;0;15;15;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;المناهج وطرق التدريس;المناهج وطرق التدريس;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;المناهج وطرق التدريس;المناهج وطرق التدريس;ماجستير;0;13;13;0;2;2;0;15;15;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;المناهج وطرق التدريس;المناهج وطرق التدريس;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;المناهج وطرق التدريس;المناهج وطرق التدريس;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;المناهج وطرق التدريس;المناهج وطرق التدريس;جملة;0;13;13;0;2;2;0;15;15;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;علم النفس;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;علم النفس;جملة;ماجستير;1;13;14;0;0;0;1;13;14;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;علم النفس;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;علم النفس;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;علم النفس;جملة;جملة;1;13;14;0;0;0;1;13;14;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;علم النفس;علم النفس;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;علم النفس;علم النفس;ماجستير;1;13;14;0;0;0;1;13;14;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;علم النفس;علم النفس;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;علم النفس;علم النفس;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية;علم النفس;علم النفس;جملة;1;13;14;0;0;0;1;13;14;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية; تقنيات التعليم ;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية; تقنيات التعليم ;جملة;ماجستير;0;16;16;0;1;1;0;17;17;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية; تقنيات التعليم ;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية; تقنيات التعليم ;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية; تقنيات التعليم ;جملة;جملة;0;16;16;0;1;1;0;17;17;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية; تقنيات التعليم ; تقنيات التعليم  ;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية; تقنيات التعليم ; تقنيات التعليم  ;ماجستير;0;16;16;0;1;1;0;17;17;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية; تقنيات التعليم ; تقنيات التعليم  ;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية; تقنيات التعليم ; تقنيات التعليم  ;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التربية; تقنيات التعليم ; تقنيات التعليم  ;جملة;0;16;16;0;1;1;0;17;17;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;جملة;جملة;دبلومعالٍ;1067;1019;2086;0;1;1;1067;1020;2087;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;جملة;جملة;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;جملة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;جملة;جملة;جملة;1067;1019;2086;0;1;1;1067;1020;2087;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الدبلوم العام في التربية;جملة;دبلومعالٍ;542;623;1165;0;1;1;542;624;1166;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الدبلوم العام في التربية;جملة;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الدبلوم العام في التربية;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الدبلوم العام في التربية;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الدبلوم العام في التربية;جملة;جملة;542;623;1165;0;1;1;542;624;1166;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الدبلوم العام في التربية;الدبلوم العام في التربية;دبلومعالٍ;542;623;1165;0;1;1;542;624;1166;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الدبلوم العام في التربية;الدبلوم العام في التربية;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الدبلوم العام في التربية;الدبلوم العام في التربية;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الدبلوم العام في التربية;الدبلوم العام في التربية;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الدبلوم العام في التربية;الدبلوم العام في التربية;جملة;542;623;1165;0;1;1;542;624;1166;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;تربية خاصة;جملة;دبلومعالٍ;31;122;153;0;0;0;31;122;153;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;تربية خاصة;جملة;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;تربية خاصة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;تربية خاصة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;تربية خاصة;جملة;جملة;31;122;153;0;0;0;31;122;153;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;تربية خاصة;تربية خاصة;دبلومعالٍ;31;122;153;0;0;0;31;122;153;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;تربية خاصة;تربية خاصة;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;تربية خاصة;تربية خاصة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;تربية خاصة;تربية خاصة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;تربية خاصة;تربية خاصة;جملة;31;122;153;0;0;0;31;122;153;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;مصادر تعلم;جملة;دبلومعالٍ;174;81;255;0;0;0;174;81;255;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;مصادر تعلم;جملة;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;مصادر تعلم;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;مصادر تعلم;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;مصادر تعلم;جملة;جملة;174;81;255;0;0;0;174;81;255;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;مصادر تعلم;مصادر التعلم;دبلومعالٍ;174;81;255;0;0;0;174;81;255;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;مصادر تعلم;مصادر التعلم;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;مصادر تعلم;مصادر التعلم;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;مصادر تعلم;مصادر التعلم;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;مصادر تعلم;مصادر التعلم;جملة;174;81;255;0;0;0;174;81;255;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;توجيه وإرشاد طلابي;جملة;دبلومعالٍ;284;137;421;0;0;0;284;137;421;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;توجيه وإرشاد طلابي;جملة;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;توجيه وإرشاد طلابي;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;توجيه وإرشاد طلابي;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;توجيه وإرشاد طلابي;جملة;جملة;284;137;421;0;0;0;284;137;421;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;توجيه وإرشاد طلابي;توجيه وإرشاد طلابي;دبلومعالٍ;284;137;421;0;0;0;284;137;421;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;توجيه وإرشاد طلابي;توجيه وإرشاد طلابي;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;توجيه وإرشاد طلابي;توجيه وإرشاد طلابي;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;توجيه وإرشاد طلابي;توجيه وإرشاد طلابي;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;توجيه وإرشاد طلابي;توجيه وإرشاد طلابي;جملة;284;137;421;0;0;0;284;137;421;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الإرشاد الأسري;جملة;دبلومعالٍ;36;56;92;0;0;0;36;56;92;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الإرشاد الأسري;جملة;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الإرشاد الأسري;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الإرشاد الأسري;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الإرشاد الأسري;جملة;جملة;36;56;92;0;0;0;36;56;92;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الإرشاد الأسري;الإرشاد الأسري;دبلومعالٍ;36;56;92;0;0;0;36;56;92;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الإرشاد الأسري;الإرشاد الأسري;ماجستير;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الإرشاد الأسري;الإرشاد الأسري;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الإرشاد الأسري;الإرشاد الأسري;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;عمادة خدمة المجتمع ببريدة;الإرشاد الأسري;الإرشاد الأسري;جملة;36;56;92;0;0;0;36;56;92;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;جملة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;جملة;جملة;ماجستير;0;24;24;0;0;0;0;24;24;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;جملة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;جملة;جملة;جملة;0;24;24;0;0;0;0;24;24;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;تصميم الأزياء;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;تصميم الأزياء;جملة;ماجستير;0;24;24;0;0;0;0;24;24;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;تصميم الأزياء;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;تصميم الأزياء;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;تصميم الأزياء;جملة;جملة;0;24;24;0;0;0;0;24;24;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;تصميم الأزياء;تصميم الأزياء;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;تصميم الأزياء;تصميم الأزياء;ماجستير;0;24;24;0;0;0;0;24;24;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;تصميم الأزياء;تصميم الأزياء;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;تصميم الأزياء;تصميم الأزياء;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;التصاميم والاقتصاد المنزلي;تصميم الأزياء;تصميم الأزياء;جملة;0;24;24;0;0;0;0;24;24;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;جملة;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;جملة;جملة;ماجستير;8;0;8;0;0;0;8;0;8;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;جملة;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;جملة;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;جملة;جملة;جملة;8;0;8;0;0;0;8;0;8;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة الكهربائية ;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة الكهربائية ;جملة;ماجستير;4;0;4;0;0;0;4;0;4;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة الكهربائية ;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة الكهربائية ;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة الكهربائية ;جملة;جملة;4;0;4;0;0;0;4;0;4;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة الكهربائية ;الهندسة الكهربائية ;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة الكهربائية ;الهندسة الكهربائية ;ماجستير;4;0;4;0;0;0;4;0;4;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة الكهربائية ;الهندسة الكهربائية ;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة الكهربائية ;الهندسة الكهربائية ;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة الكهربائية ;الهندسة الكهربائية ;جملة;4;0;4;0;0;0;4;0;4;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة المدنية  ;جملة;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة المدنية  ;جملة;ماجستير;4;0;4;0;0;0;4;0;4;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة المدنية  ;جملة;زمالة;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة المدنية  ;جملة;دكتوراه;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة المدنية  ;جملة;جملة;4;0;4;0;0;0;4;0;4;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة المدنية  ;الهندسة المدنية;دبلومعالٍ;0;0;0;0;0;0;0;0;0;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة المدنية  ;الهندسة المدنية;ماجستير;4;0;4;0;0;0;4;0;4;
1435-1434;fr;pg;جامعة القصيم دراسات عليا;جامعة القصيم دراسات عليا;الهندسة ;العلوم في الهندسة المدنية  ;الهندسة المدنية;زمالة;0;0;0;0;0;0;0;0;0;
