ARAB;EN
كلية سعد للتمريض والعلوم الصحية الأهلية بكالوريوس;Saad College of Nursing & Allied Health Sciences
جامعة سلمان بن عبدالعزيز;Salman bin Abdulaziz University
جامعة سلمان بن عبدالعزيز بكالوريوس;Salman bin Abdulaziz University
جامعة سلمان بن عبدالعزيز دبلوم متوسط;Salman bin Abdulaziz University
الجامعة السعودية الإلكترونية;Saudi Arabia University of electronic
الجامعة السعودية الإلكترونية بكالوريوس;Saudi Arabia University of electronic
الجامعة السعودية الإلكترونية دراسات عليا;Saudi Arabia University of electronic
 جامعة شقراء;Shaqra University
جامعة شقراء بكالوريوس;Shaqra University
جامعة شقراء دبلوم متوسط;Shaqra University
كليات سليمان الراجحي الأهلية;Sulaiman Al Rajhi Colleges
كليات سليمان الراجحي الأهلية بكالوريوس;Sulaiman Al Rajhi Colleges
جامعة تبوك ;Tabuk University
جامعة تبوك بكالوريوس;Tabuk University
جامعة تبوك دبلوم متوسط;Tabuk University
جامعة تبوك دراسات عليا;Tabuk University
جامعة طيبة ;Taibah University
جامعة طيبة بكالوريوس;Taibah University
جامعة طيبة دبلوم متوسط;Taibah University
جامعة طيبة دراسات عليا;Taibah University
جامعة الطائف ;Taif University
جامعة الطائف بكالوريوس;Taif University
جامعة الطائف دراسات عليا;Taif University
المؤسسة العامة للتدريب التقني والمهني بكالوريوس;Technical and Vocational Training Corporation
الإجمالي;Total
جامعة أم القرى;Umm Al-Qura University
جامعة أم القرى بكالوريوس;Umm Al-Qura University
جامعة أم القرى دبلوم متوسط;Umm Al-Qura University
جامعة أم القرى دراسات عليا;Umm Al-Qura University
جامعة الأعمال والتكنولوجيا الأهلية;University of Business and Technology
جامعة الأعمال والتكنولوجيا الأهلية بكالوريوس;University of Business and Technology
جامعة الأعمال والتكنولوجيا الأهلية دراسات عليا;University of Business and Technology
جامعة الدمام ;University of Dammam
جامعة الدمام بكالوريوس;University of Dammam
جامعة الدمام دبلوم متوسط;University of Dammam
جامعة الدمام دراسات عليا;University of Dammam
جامعة حائل ;University of Hail
جامعة حائل بكالوريوس;University of Hail
جامعة حائل دبلوم متوسط;University of Hail
جامعة حائل دراسات عليا;University of Hail
قطاع ينبع التعليمي;Yanbu educational sector
قطاع ينبع التعليمي بكالوريوس;Yanbu educational sector
قطاع ينبع التعليمي دبلوم متوسط;Yanbu educational sector
كلية ينبع الصناعية ;Yanbu Industrial College
كلية ينبع الجامعية ;Yanbu University College
إجمالي مؤسسات التعليم العالي في المملكة;Total higher education institutions in the Kingdom
